feature,importance_mean,importance_std
professional_stability_score,-2036.3479166666666,1547.4125398458623
employment_years,-7340.991666666667,2150.4234812912755
cargoempleocliente_consolidated_freq,-7863.064583333334,1719.1060854419288
fechaingresoempleo_days,-9964.802083333334,2440.7986609062204
fecha_inicio_days,-12097.4,2866.259257080923
edad,-20060.895833333332,3544.7643969528513
ocupacion_consolidated_freq,-69728.7875,4284.47886073662
nombreempleadorcliente_consolidated_freq,-94382.06458333334,4725.021232459827
balance_to_payment_ratio,-106510.65833333334,9305.986215973226
saldo,-118411.98125,8687.865234797027
