iter	Passed	Remaining
0	33	36993
1	64	35421
2	96	35215
3	125	34374
4	170	37377
5	204	37324
6	233	36426
7	267	36545
8	298	36175
9	328	35806
10	362	35849
11	399	36192
12	434	36315
13	462	35891
14	495	35848
15	530	35948
16	566	36109
17	604	36359
18	640	36436
19	673	36351
20	704	36210
21	735	36062
22	774	36270
23	806	36164
24	844	36320
25	880	36381
26	917	36460
27	953	36512
28	985	36403
29	1023	36521
30	1055	36413
31	1085	36243
32	1115	36056
33	1144	35892
34	1174	35740
35	1218	36000
36	1256	36101
37	1291	36094
38	1330	36193
39	1368	36259
40	1397	36089
41	1433	36119
42	1463	35978
43	1498	35968
44	1533	35963
45	1653	37880
46	1702	38141
47	1737	38087
48	1769	37955
49	1801	37823
50	1837	37789
51	1873	37761
52	1909	37725
53	1950	37784
54	1987	37756
55	2020	37671
56	2053	37583
57	2090	37548
58	2138	37739
59	2178	37753
60	2211	37672
61	2244	37571
62	2274	37439
63	2304	37304
64	2348	37392
65	2386	37385
66	2421	37332
67	2456	37283
68	2485	37145
69	2521	37100
70	2560	37104
71	2588	36964
72	2623	36915
73	2664	36940
74	2699	36898
75	2740	36923
76	2778	36919
77	2807	36787
78	2841	36723
79	2874	36647
80	2913	36650
81	2949	36614
82	2984	36565
83	3013	36453
84	3048	36405
85	3080	36325
86	3112	36235
87	3148	36202
88	3181	36143
89	3217	36110
90	3254	36086
91	3286	36013
92	3320	35953
93	3354	35902
94	3389	35854
95	3426	35834
96	3458	35762
97	3489	35677
98	3519	35587
99	3559	35592
100	3593	35539
101	3633	35546
102	3668	35510
103	3698	35417
104	3728	35336
105	3762	35278
106	3793	35200
107	3833	35213
108	3871	35200
109	3906	35160
110	3940	35109
111	3973	35050
112	4004	34975
113	4044	34980
114	4079	34943
115	4116	34915
116	4147	34845
117	4176	34760
118	4208	34695
119	4242	34643
120	4280	34633
121	4321	34642
122	4362	34648
123	4390	34555
124	4426	34526
125	4460	34478
126	4495	34443
127	4533	34428
128	4568	34384
129	4600	34330
130	4632	34265
131	4662	34194
132	4693	34127
133	4728	34084
134	4763	34050
135	4795	33994
136	4826	33924
137	4857	33862
138	4891	33819
139	4926	33779
140	4963	33759
141	4998	33723
142	5037	33712
143	5070	33659
144	5100	33595
145	5136	33562
146	5171	33526
147	5203	33473
148	5240	33445
149	5270	33380
150	5299	33307
151	5331	33254
152	5369	33237
153	5411	33241
154	5448	33216
155	5482	33175
156	5515	33127
157	5546	33066
158	5576	33003
159	5608	32951
160	5639	32888
161	5673	32850
162	5707	32808
163	5741	32766
164	5774	32723
165	5804	32658
166	5831	32578
167	5857	32497
168	5889	32447
169	5924	32412
170	5956	32357
171	5983	32281
172	6009	32198
173	6036	32126
174	6065	32060
175	6093	31993
176	6125	31942
177	6154	31880
178	6185	31827
179	6214	31762
180	6241	31691
181	6265	31601
182	6292	31529
183	6322	31474
184	6356	31439
185	6386	31385
186	6420	31347
187	6452	31299
188	6477	31221
189	6514	31199
190	6546	31157
191	6581	31124
192	6615	31090
193	6646	31041
194	6675	30980
195	6704	30921
196	6737	30882
197	6767	30829
198	6798	30783
199	6834	30754
200	6861	30690
201	6890	30631
202	6920	30578
203	6952	30537
204	6982	30482
205	7011	30427
206	7039	30369
207	7066	30304
208	7094	30244
209	7122	30185
210	7157	30154
211	7186	30103
212	7221	30073
213	7257	30048
214	7285	29990
215	7319	29956
216	7352	29919
217	7383	29870
218	7412	29820
219	7445	29780
220	7472	29721
221	7501	29666
222	7531	29619
223	7559	29564
224	7586	29503
225	7614	29448
226	7643	29395
227	7672	29342
228	7702	29295
229	7731	29246
230	7761	29197
231	7788	29141
232	7816	29084
233	7845	29035
234	7876	28992
235	7904	28938
236	7931	28882
237	7959	28827
238	7987	28773
239	8012	28710
240	8039	28654
241	8067	28604
242	8099	28566
243	8131	28526
244	8158	28471
245	8182	28404
246	8211	28356
247	8237	28300
248	8258	28224
249	8287	28178
250	8326	28163
251	8356	28120
252	8386	28074
253	8422	28053
254	8451	28005
255	8478	27953
256	8507	27905
257	8539	27869
258	8572	27834
259	8600	27787
260	8631	27747
261	8660	27700
262	8696	27677
263	8723	27624
264	8754	27586
265	8783	27540
266	8826	27537
267	8862	27514
268	8890	27463
269	8917	27411
270	8943	27358
271	8972	27312
272	9005	27281
273	9034	27235
274	9063	27191
275	9093	27147
276	9121	27102
277	9149	27052
278	9172	26990
279	9200	26945
280	9232	26907
281	9260	26861
282	9294	26831
283	9328	26801
284	9353	26747
285	9382	26703
286	9415	26671
287	9446	26634
288	9473	26585
289	9502	26542
290	9530	26495
291	9558	26450
292	9585	26400
293	9610	26347
294	9638	26301
295	9667	26259
296	9700	26228
297	9732	26192
298	9763	26155
299	9790	26107
300	9816	26058
301	9847	26021
302	9882	25993
303	9910	25949
304	9938	25906
305	9964	25855
306	9993	25813
307	10026	25782
308	10050	25729
309	10077	25681
310	10106	25639
311	10139	25608
312	10170	25572
313	10202	25539
314	10237	25511
315	10270	25481
316	10305	25455
317	10342	25434
318	10376	25405
319	10415	25387
320	10446	25351
321	10479	25319
322	10510	25284
323	10551	25271
324	10585	25242
325	10617	25208
326	10648	25171
327	10677	25131
328	10706	25089
329	10733	25043
330	10759	24998
331	10789	24958
332	10821	24925
333	10856	24899
334	10888	24864
335	10917	24823
336	10950	24792
337	10979	24752
338	11012	24722
339	11043	24685
340	11072	24644
341	11100	24603
342	11126	24556
343	11155	24517
344	11186	24480
345	11215	24440
346	11245	24402
347	11272	24359
348	11299	24315
349	11324	24266
350	11350	24220
351	11378	24179
352	11408	24141
353	11435	24098
354	11463	24056
355	11498	24031
356	11527	23991
357	11559	23957
358	11585	23912
359	11611	23868
360	11643	23835
361	11679	23810
362	11709	23773
363	11742	23743
364	11769	23700
365	11796	23658
366	11822	23613
367	11856	23583
368	11881	23537
369	11908	23494
370	11934	23451
371	11965	23415
372	11994	23378
373	12020	23333
374	12047	23291
375	12076	23253
376	12107	23219
377	12131	23172
378	12162	23137
379	12192	23101
380	12219	23059
381	12245	23016
382	12278	22985
383	12308	22949
384	12336	22910
385	12362	22867
386	12390	22828
387	12416	22784
388	12441	22740
389	12471	22705
390	12501	22668
391	12528	22628
392	12558	22593
393	12586	22554
394	12610	22507
395	12635	22463
396	12661	22421
397	12687	22378
398	12713	22335
399	12740	22296
400	12773	22266
401	12800	22226
402	12824	22181
403	12854	22145
404	12881	22105
405	12907	22063
406	12937	22028
407	12968	21995
408	12998	21960
409	13024	21918
410	13053	21882
411	13079	21841
412	13105	21800
413	13137	21768
414	13168	21736
415	13198	21702
416	13224	21660
417	13251	21620
418	13280	21585
419	13307	21544
420	13335	21507
421	13363	21470
422	13390	21430
423	13419	21395
424	13445	21355
425	13471	21314
426	13497	21272
427	13518	21224
428	13545	21186
429	13575	21152
430	13600	21110
431	13629	21074
432	13659	21041
433	13687	21003
434	13715	20967
435	13742	20929
436	13769	20891
437	13802	20861
438	13834	20830
439	13863	20795
440	13890	20756
441	13915	20716
442	13943	20679
443	13968	20638
444	13994	20598
445	14025	20565
446	14054	20532
447	14084	20497
448	14111	20459
449	14135	20417
450	14164	20382
451	14189	20342
452	14213	20299
453	14244	20268
454	14272	20232
455	14300	20195
456	14327	20158
457	14355	20122
458	14378	20079
459	14404	20040
460	14428	19999
461	14454	19960
462	14483	19926
463	14510	19888
464	14537	19852
465	14564	19814
466	14590	19777
467	14618	19741
468	14646	19705
469	14675	19671
470	14704	19636
471	14732	19601
472	14765	19573
473	14790	19533
474	14819	19499
475	14849	19467
476	14879	19433
477	14907	19398
478	14937	19366
479	14961	19325
480	14993	19294
481	15020	19259
482	15048	19223
483	15074	19185
484	15101	19149
485	15126	19110
486	15157	19078
487	15190	19050
488	15221	19018
489	15253	18989
490	15282	18955
491	15311	18921
492	15340	18888
493	15371	18856
494	15403	18826
495	15431	18791
496	15458	18755
497	15485	18719
498	15518	18690
499	15540	18648
500	15565	18610
501	15596	18579
502	15628	18549
503	15655	18513
504	15684	18479
505	15710	18442
506	15737	18406
507	15763	18370
508	15791	18335
509	15822	18304
510	15851	18271
511	15884	18241
512	15912	18208
513	15943	18176
514	15975	18147
515	16005	18114
516	16033	18080
517	16061	18046
518	16089	18012
519	16114	17974
520	16143	17941
521	16167	17901
522	16193	17865
523	16222	17831
524	16253	17801
525	16285	17771
526	16312	17736
527	16340	17701
528	16368	17667
529	16390	17627
530	16418	17593
531	16445	17558
532	16476	17527
533	16505	17494
534	16534	17462
535	16562	17427
536	16588	17391
537	16615	17356
538	16641	17320
539	16667	17284
540	16696	17252
541	16725	17219
542	16755	17187
543	16782	17152
544	16809	17117
545	16836	17083
546	16863	17048
547	16889	17013
548	16916	16978
549	16942	16942
550	16973	16911
551	17003	16879
552	17025	16840
553	17053	16806
554	17080	16773
555	17107	16738
556	17141	16710
557	17174	16682
558	17241	16686
559	17319	16701
560	17375	16694
561	17411	16667
562	17448	16642
563	17486	16618
564	17521	16590
565	17552	16560
566	17585	16530
567	17611	16494
568	17637	16459
569	17666	16426
570	17694	16393
571	17725	16362
572	17758	16332
573	17794	16306
574	17824	16274
575	17853	16241
576	17884	16210
577	17912	16176
578	17941	16143
579	17969	16110
580	18001	16080
581	18036	16052
582	18065	16020
583	18107	15998
584	18139	15969
585	18167	15934
586	18192	15898
587	18220	15865
588	18247	15830
589	18279	15800
590	18309	15769
591	18338	15736
592	18366	15702
593	18395	15670
594	18422	15635
595	18447	15599
596	18479	15569
597	18511	15539
598	18544	15510
599	18570	15475
600	18596	15440
601	18623	15406
602	18648	15370
603	18673	15334
604	18699	15299
605	18731	15269
606	18755	15232
607	18785	15201
608	18814	15169
609	18842	15135
610	18868	15101
611	18894	15066
612	18923	15033
613	18952	15001
614	18985	14972
615	19016	14941
616	19041	14906
617	19068	14872
618	19092	14835
619	19119	14802
620	19147	14769
621	19174	14735
622	19201	14701
623	19233	14672
