num_features,features,scenario_name,status,predicted_income,ci_lower,ci_upper,ci_width,error
1,Edad,1F_Edad,SUCCESS,1815.8,1304.87,2570.82,1265.9501,
1,Ocupacion,1F_Ocupacion,SUCCESS,1681.64,1170.71,2436.66,1265.95,
1,NombreEmpleadorCliente,1F_NombreEmpleadorCliente,SUCCESS,1681.64,1170.71,2436.66,1265.95,
1,CargoEmpleoCliente,1F_CargoEmpleoCliente,SUCCESS,1681.64,1170.71,2436.66,1265.95,
1,FechaIngresoEmpleo,1F_FechaIngresoEmpleo,SUCCESS,1681.64,1170.71,2436.66,1265.95,
1,saldo,1F_saldo,SUCCESS,1681.64,1170.71,2436.66,1265.95,
1,monto_letra,1F_monto_letra,SUCCESS,1733.47,1222.54,2488.49,1265.95,
1,fecha_inicio,1F_fecha_inicio,SUCCESS,1681.64,1170.71,2436.66,1265.95,
1,fecha_vencimiento,1F_fecha_vencimiento,SUCCESS,1815.74,1304.81,2570.76,1265.95,
2,Edad + NombreEmpleadorCliente,2F_Edad_NombreEmpleadorCliente,SUCCESS,1815.8,1304.87,2570.82,1265.9501,
2,Edad + saldo,2F_Edad_saldo,SUCCESS,1815.8,1304.87,2570.82,1265.9501,
2,Edad + monto_letra,2F_Edad_monto_letra,SUCCESS,1907.16,1396.23,2662.18,1265.95,
2,saldo + monto_letra,2F_saldo_monto_letra,SUCCESS,1654.15,1143.22,2409.17,1265.95,
2,Edad + Ocupacion,2F_Edad_Ocupacion,SUCCESS,1815.8,1304.87,2570.82,1265.9501,
2,NombreEmpleadorCliente + saldo,2F_NombreEmpleadorCliente_saldo,SUCCESS,1681.64,1170.71,2436.66,1265.95,
2,FechaIngresoEmpleo + Edad,2F_FechaIngresoEmpleo_Edad,SUCCESS,1815.8,1304.87,2570.82,1265.9501,
2,fecha_inicio + saldo,2F_fecha_inicio_saldo,SUCCESS,1681.64,1170.71,2436.66,1265.95,
3,Edad + NombreEmpleadorCliente + saldo,3F_Edad_NombreEmpleadorCliente_saldo,SUCCESS,1815.8,1304.87,2570.82,1265.9501,
3,Edad + NombreEmpleadorCliente + monto_letra,3F_Edad_NombreEmpleadorCliente_monto_letra,SUCCESS,1907.16,1396.23,2662.18,1265.95,
3,Edad + saldo + monto_letra,3F_Edad_saldo_monto_letra,SUCCESS,1817.63,1306.7,2572.65,1265.95,
3,Edad + Ocupacion + NombreEmpleadorCliente,3F_Edad_Ocupacion_NombreEmpleadorCliente,SUCCESS,1815.8,1304.87,2570.82,1265.9501,
3,saldo + monto_letra + FechaIngresoEmpleo,3F_saldo_monto_letra_FechaIngresoEmpleo,SUCCESS,1654.15,1143.22,2409.17,1265.95,
