feature,importance
ocupacion_consolidated_freq,5457
nombreempleadorcliente_consolidated_freq,3474
edad,2692
fechaingresoempleo_days,2159
fecha_inicio_days,2002
cargoempleocliente_consolidated_freq,1880
balance_to_payment_ratio,1845
professional_stability_score,1569
monto_letra,1569
employment_years,1478
saldo,1419
location_x_occupation,1370
payment_per_age,1243
contract_duration,1186
loan_payment_burden,1009
balance_coverage_ratio,994
total_debt_per_age,873
fecha_vencimiento_days,859
ciudad_consolidated_freq,821
contract_maturity_years,751
